system,a,b,c,alpha,beta,gamma
2,5.10343,5.10343,13.78678,90.0,90.0,120.0
1,9.09997,9.09997,9.09997,90.0,90.0,90.0
6,12.04226,3.10215,3.90933,90.0,90.58914,90.0
