No.,H,K,L,Mult,2theta/,Ints/
1,1,0,-1,4,17.965035613302582,22.635599936511557
2,2,0,0,2,21.97821599194305,17.89488169326411
3,0,-1,-1,4,22.58995863406281,106.8235540025173
4,-1,-1,1,1,25.014376447650108,6.995573101512269
5,2,0,1,4,25.87150459653887,47.164598688615285
6,0,0,2,2,27.6881290953804,10.392780437652481
7,2,1,0,4,28.03324322299113,55.31532544777566
8,-1,0,2,4,29.70622297612106,64.18352968046632
9,-2,-1,-1,4,31.19387963104064,50.36498027087315
10,-1,1,-2,8,34.4667857128327,27.64042791539625
11,-2,0,-2,4,35.10302918438228,6.909348313967703
12,0,2,0,2,35.157277572669834,28.85431543605886
13,3,0,-1,4,35.366650149246176,10.121063479072793
14,-2,1,-2,4,39.26212391679195,6.312108198099273
15,1,-2,-1,8,39.298941532921205,0.780665144056897
16,-3,1,-1,8,39.50105123107153,3.1202010831048788
17,2,2,0,1,41.345223728489735,4.4217255705226695
18,3,0,-2,4,42.724978974906726,1.8351851303087738
19,1,0,3,4,42.82310201204883,1.9347422759076933
20,-4,0,0,2,43.48200049680394,0.00940023676574288
21,-2,-2,1,1,43.62553897044516,2.71588174171364
22,0,2,2,4,44.77557928970022,12.557088709218696
23,0,-1,3,4,45.04858300847111,0.6026589652672353
24,4,0,-1,4,45.67186491305393,28.102410191904188
25,1,2,2,4,46.11090749717887,13.863854486950304
26,3,1,-2,8,46.2876138421422,32.92889016037913
27,1,1,-3,1,46.3776926312113,4.287828584797438
28,2,0,3,4,46.87253963364637,0.198132482961566
29,4,-1,0,4,46.9967802569629,22.40507354116614
30,-4,1,-1,8,49.059880229616944,0.4089730318647823
31,2,-2,2,4,49.94331499763369,0.43762291661007874
32,-3,-2,1,8,50.13863492511058,16.122363628213673
33,-2,1,-3,8,50.194738736027944,7.350861561777627e-05
34,-4,0,-2,4,51.79163612072155,0.15678981679881504
35,3,0,-3,4,53.07007319958268,22.069701814087768
36,-4,1,2,8,54.88549665478414,4.37702323331796
37,0,3,-1,4,55.04222086928624,5.760031424952908
38,0,0,-4,2,55.74192036712102,1.4085284883133236
39,-3,2,-2,8,55.88273731592733,1.2530473095617094
40,-1,2,-3,8,55.960511422585725,3.9908716223797764
41,3,-1,3,4,56.113194945077765,2.6641884952559054
42,-1,-3,-1,4,56.18808570721229,2.5522609000029584
43,4,2,0,4,56.50063985788723,0.20991466518944757
44,-5,0,1,4,56.64196194562171,5.19230909275585
45,-1,0,4,4,56.87918857805175,10.095970150824003
46,-2,3,0,4,57.751130365349205,10.558043808972995
47,-4,-2,-1,8,58.309849697095814,23.252438202957777
48,-2,2,-3,8,59.318090168087956,0.20262918959898704
49,2,-3,1,8,59.535575976852634,11.33486967402171
50,5,-1,-1,4,59.559847031244985,1.0523290953195874
51,-1,-1,-4,1,59.78740804180235,0.5734165260764902
52,2,0,-4,4,60.19845888902833,2.4290384145786232
53,4,0,3,4,60.958168094170404,0.00029790755929437934
54,1,3,-2,8,61.529734872358375,3.1620758754042613
55,5,0,-2,4,61.958356118125835,0.8309166277513848
56,2,-1,-4,8,63.008415185301764,2.592248143502733
57,-4,-2,-2,4,63.534085665461596,0.020219806275262694
58,4,-1,3,8,63.74890229454671,0.0005292555509612078
59,-3,-2,3,8,64.65799436734834,13.85777305968695
60,-2,3,2,8,64.69668700475138,3.3114103237774537
61,5,1,-2,8,64.72089547880097,12.719540481513102
62,-3,-3,1,1,64.86169401492832,0.09786592032491717
63,3,0,-4,4,65.49616995036463,0.18614194848802273
64,-6,0,0,2,66.70300023102895,1.7441182040563228
65,0,-2,4,4,67.02540577946878,2.522807743000028
66,-5,2,-1,8,67.83043689240502,2.678623907669777
67,-1,2,-4,8,68.04041773697453,6.707972152383153
68,3,1,-4,8,68.17577186380964,6.5734662221758215
69,6,0,1,4,68.3498890838486,1.3297069826743368
70,0,-3,3,4,68.86150235716667,0.17025351137888942
71,-6,1,0,4,69.36468908862871,3.775641164464147
72,-3,-3,2,1,69.79594563698781,1.1076890885085877
73,-1,3,3,4,69.87030513142764,3.537691955192894
74,5,0,3,4,70.26792225681135,4.2824156954109185
75,4,3,0,4,70.34339471363597,4.595373767239862
76,-6,-1,-1,4,70.9714528434467,4.533444478822267
77,-2,2,4,8,71.04860378873292,1.4684218396564819
78,4,2,-3,8,71.74532631894766,0.0001975687421259813
79,4,-3,1,8,71.94019547527324,0.08938924129338403
80,1,0,-5,4,72.0748494535772,0.03160593779859901
81,4,0,4,4,72.54434764473265,0.06490347661251404
82,5,2,-2,8,72.66278434134068,0.8503917154775833
83,0,4,0,2,72.66902973868393,2.9656331601268553
84,2,3,-3,8,72.83810701054416,0.0001451771183535431
85,5,-1,3,8,72.86322980679492,3.5677825956633775
86,-6,0,2,4,73.1662116603558,0.3343654941079216
87,0,1,5,4,73.67101681492055,4.671282433899749
88,1,1,5,1,74.64455788699597,0.12743283205917674
89,-2,0,5,4,75.01121972345145,1.631893823086263
90,4,1,4,4,75.10519553063621,1.5345057099667858
91,1,4,1,4,75.21966352756769,0.2868215161156568
92,6,1,-2,8,75.71567368295857,1.5473497589291945
93,-3,-2,-4,8,75.94231089089334,0.13153395357859204
94,-2,4,0,4,76.56120240431981,1.3005567679718637
95,4,3,-2,8,76.65958894294289,1.3124042260393023
96,6,-2,0,4,77.07736044493122,2.0662170251806207
97,2,-1,5,8,77.53637170702044,5.101282951174178
98,3,-3,-3,4,77.68833028620125,0.652364664913483
99,2,-4,-1,8,78.11153764999283,2.820264397406751
100,6,-2,-1,8,78.62184441142243,1.059333568012572
101,0,-4,-2,4,78.91363007593101,1.3508415091785737
102,-3,0,-5,4,79.81161802073319,0.7133238124450056
103,-1,4,-2,8,79.8656184538738,6.832249686728995
104,-5,-2,3,8,80.44160469831576,6.687213000158537
105,5,3,1,8,80.63044836359376,0.7361773329421444
106,1,-3,-4,8,80.82823807684451,1.3485056532671373
107,-6,0,-3,4,80.9235707157298,0.06013550269174414
108,-7,0,1,4,81.01118460160359,0.008393828707771231
