H,K,L,Distance,2theta/TOF,Mult
-1,-1,1,5.2522,16.88078329455749,24
0,2,0,4.5485,19.51620123412059,6
0,2,2,3.2163,27.73667471704207,12
-1,-3,-1,2.7428,32.648204466975,24
2,-2,2,2.6261,34.14251261313779,24
0,4,0,2.2742,39.63011047406015,6
3,-1,3,2.087,43.35618525079864,24
4,2,0,2.0341,44.543270793772095,24
-2,2,4,1.8569,49.05942305873208,48
3,-3,-3,1.7507,52.25237497330033,24
4,0,4,1.6081,57.292189839772,12
5,3,1,1.5376,60.18252165842245,48
-4,4,2,1.5161,61.12645503640144,48
0,6,2,1.4383,64.82267830534227,24
5,-3,3,1.3872,67.52314736791911,48
-2,6,2,1.3714,68.40796679308933,48
4,4,4,1.313,71.90918949539905,8
-1,7,1,1.2738,74.4883054084898,48
-4,6,0,1.2615,75.34015646188641,24
-4,-2,-6,1.2156,78.71970197587451,48
