No.,H,K,L,Mult,2theta/,Ints/
1,1,0,-1,4,17.765035613302583,27.142848038991637
2,2,0,0,2,21.77821599194305,33.233351716061925
3,0,-1,-1,4,22.38995863406281,133.1473391569079
4,-1,-1,1,1,24.81437644765011,9.119424616147786
5,2,0,1,4,25.67150459653887,30.127396641962573
6,0,0,2,2,27.4881290953804,13.978107874684973
7,2,1,0,4,27.83324322299113,55.31532544777566
8,-1,0,2,4,29.506222976121062,56.85540649381978
9,-2,-1,-1,4,30.99387963104064,42.75195060272184
10,-1,1,-2,8,34.2667857128327,24.85222036106869
11,-2,0,-2,4,34.90302918438228,7.135117557538918
12,0,2,0,2,34.95727757266983,36.34184270196851
13,3,0,-1,4,35.16665014924617,11.107675696976825
14,-2,1,-2,4,39.06212391679195,6.559039187367258
15,1,-2,-1,8,39.0989415329212,0.6959787807234211
16,-3,1,-1,8,39.301051231071526,4.090668875067484
17,2,2,0,1,41.14522372848973,3.1813894046054374
18,3,0,-2,4,42.52497897490672,1.3951257431998823
19,1,0,3,4,42.623102012048825,1.1808435593082331
20,-4,0,0,2,43.28200049680394,0.008470196418901562
21,-2,-2,1,1,43.42553897044516,2.3529260569051456
22,0,2,2,4,44.575579289700215,15.953967882123578
23,0,-1,3,4,44.84858300847111,0.6772324995060713
24,4,0,-1,4,45.47186491305393,24.428656172136716
25,1,2,2,4,45.91090749717887,19.971088068891792
26,3,1,-2,8,46.0876138421422,42.75762859159458
27,1,1,-3,1,46.1776926312113,4.253549782541484
28,2,0,3,4,46.672539633646366,0.198132482961566
29,4,-1,0,4,46.7967802569629,14.395127543753505
30,-4,1,-1,8,48.85988022961694,0.2708930871244843
31,2,-2,2,4,49.74331499763369,0.5821335461445593
32,-3,-2,1,8,49.93863492511058,11.28444472011211
33,-2,1,-3,8,49.99473873602794,6.175532394043885e-05
34,-4,0,-2,4,51.591636120721546,0.12236080365758421
35,3,0,-3,4,52.87007319958268,18.84827885051363
36,-4,1,2,8,54.68549665478414,3.7076306383895954
37,0,3,-1,4,54.84222086928624,7.089867890350549
38,0,0,-4,2,55.541920367121016,1.7436713949947544
39,-3,2,-2,8,55.68273731592733,1.4218522355862355
40,-1,2,-3,8,55.76051142258572,4.035430460747254
41,3,-1,3,4,55.91319494507776,2.32299481270186
42,-1,-3,-1,4,55.988085707212285,3.591778131016606
43,4,2,0,4,56.30063985788723,0.15959287367199942
44,-5,0,1,4,56.441961945621706,3.8675744979012
45,-1,0,4,4,56.67918857805175,9.884879972034277
46,-2,3,0,4,57.5511303653492,10.421817286715195
47,-4,-2,-1,8,58.10984969709581,18.49897286108405
48,-2,2,-3,8,59.11809016808795,0.26278761980460386
49,2,-3,1,8,59.33557597685263,9.405437313290207
50,5,-1,-1,4,59.35984703124498,0.7573955928578092
51,-1,-1,-4,1,59.58740804180235,0.6304395898778229
52,2,0,-4,4,59.99845888902833,2.9290107872148163
53,4,0,3,4,60.7581680941704,0.0003259757167363073
54,1,3,-2,8,61.32973487235837,3.614463029595108
55,5,0,-2,4,61.75835611812583,1.395479668338101
56,2,-1,-4,8,62.80841518530176,3.163549349328059
57,-4,-2,-2,4,63.33408566546159,0.01841301232130367
58,4,-1,3,8,63.54890229454671,0.0006367769205759828
59,-3,-2,3,8,64.45799436734833,14.122190191109611
60,-2,3,2,8,64.49668700475138,2.333622988380298
61,5,1,-2,8,64.52089547880097,7.613202722065373
62,-3,-3,1,1,64.66169401492832,0.10153919712217345
63,3,0,-4,4,65.29616995036463,0.21151246024428366
64,-6,0,0,2,66.50300023102895,2.481075235767618
65,0,-2,4,4,66.82540577946878,3.444873958600535
66,-5,2,-1,8,67.63043689240502,3.0559700598844928
67,-1,2,-4,8,67.84041773697453,8.326716350154353
68,3,1,-4,8,67.97577186380964,8.012516105759415
69,6,0,1,4,68.14988908384859,0.9771444734511087
70,0,-3,3,4,68.66150235716667,0.14300352862627097
71,-6,1,0,4,69.1646890886287,3.5669985499857253
72,-3,-3,2,1,69.5959456369878,1.1756194733020984
73,-1,3,3,4,69.67030513142764,3.537691955192894
74,5,0,3,4,70.06792225681134,4.326192647872218
75,4,3,0,4,70.14339471363597,4.112010304309035
76,-6,-1,-1,4,70.7714528434467,4.447811586344773
77,-2,2,4,8,70.84860378873292,1.3113419498831642
78,4,2,-3,8,71.54532631894766,0.00015280689496299465
79,4,-3,1,8,71.74019547527324,0.10965728801878079
80,1,0,-5,4,71.8748494535772,0.03167022146113903
81,4,0,4,4,72.34434764473265,0.043690897550252
82,5,2,-2,8,72.46278434134068,1.2749095457134105
83,0,4,0,2,72.46902973868393,2.9656331601268553
84,2,3,-3,8,72.63810701054416,0.0001932629770561106
85,5,-1,3,8,72.66322980679492,3.3905604357664187
86,-6,0,2,4,72.9662116603558,0.3489245667056666
87,0,1,5,4,73.47101681492055,5.834889456568722
88,1,1,5,1,74.44455788699597,0.09748136064068118
89,-2,0,5,4,74.81121972345144,2.573918892909212
90,4,1,4,4,74.9051955306362,2.0562631861433713
91,1,4,1,4,75.01966352756769,0.2364043366571738
92,6,1,-2,8,75.51567368295856,1.3301572123612084
93,-3,-2,-4,8,75.74231089089334,0.15225527110026407
94,-2,4,0,4,76.36120240431981,0.9960081796573684
95,4,3,-2,8,76.45958894294289,1.4017229331579362
96,6,-2,0,4,76.87736044493121,1.4097056024187282
97,2,-1,5,8,77.33637170702043,4.725782260085753
98,3,-3,-3,4,77.48833028620125,0.8797599950460185
99,2,-4,-1,8,77.91153764999282,2.332566904554915
100,6,-2,-1,8,78.42184441142243,1.4911609779558794
101,0,-4,-2,4,78.71363007593101,0.9358640718819249
102,-3,0,-5,4,79.61161802073319,0.4663121079524379
103,-1,4,-2,8,79.66561845387379,6.913931271908978
104,-5,-2,3,8,80.24160469831575,6.226117274214271
105,5,3,1,8,80.43044836359375,0.777230943910404
106,1,-3,-4,8,80.62823807684451,1.9697946968833167
107,-6,0,-3,4,80.72357071572979,0.055676488072216666
108,-7,0,1,4,80.81118460160359,0.008851920424485448
