H,K,L,Distance,2theta/TOF,Mult
0,0,2,6.8871,12.853952430404531,2
0,1,0,4.4097,20.136795563159243,6
-1,0,2,3.7137,23.962094452796467,12
0,0,-4,3.4435,25.873685688077426,2
0,-1,4,2.714,33.00450728665713,12
1,1,0,2.5459,35.25272542053833,6
-1,-1,1,2.5035,35.869883409439936,12
1,1,2,2.388,37.66841520395175,12
0,0,6,2.2957,39.24365438489256,2
1,1,-3,2.2265,40.515929605036995,12
0,2,0,2.2048,40.9324660536608,6
0,2,2,2.0998,43.07864931857258,12
-1,-1,-4,2.0471,44.24539514147749,12
0,1,6,2.0362,44.494873324270976,12
1,1,5,1.8697,48.70167053793442,12
0,-2,4,1.8568,49.06223943404308,12
0,0,8,1.7217,53.20098095382908,2
1,1,6,1.7049,53.7671467365575,12
2,1,0,1.6667,55.10261712340052,12
1,2,1,1.6546,55.540244543064205,12
1,2,2,1.6199,56.83670159334999,12
0,1,8,1.6038,57.46008791134256,12
0,2,-6,1.5902,57.99800135075241,12
-2,-1,3,1.5666,58.957080023880124,24
1,1,7,1.5569,59.361060075699704,12
-2,-1,4,1.5002,61.84499677106002,24
0,3,0,1.4699,63.265283175406516,6
0,3,-2,1.4375,64.86317193695052,12
-1,-1,8,1.4262,65.44098997808345,12
-1,-2,5,1.426,65.4513162757257,24
0,0,-10,1.3774,68.0690243476611,2
2,0,8,1.357,69.23652961212198,12
0,-3,4,1.3518,69.54110574394286,12
-1,-2,-6,1.3487,69.72406722341987,24
0,1,-10,1.3147,71.80174989095629,12
-1,-1,9,1.3117,71.99158658395744,12
2,2,0,1.2729,74.54991521548727,6
-2,-1,7,1.2718,74.62536884675174,24
-2,-2,1,1.2675,74.92194770596366,12
2,2,-2,1.2517,76.03445417407751,12
3,0,-6,1.2379,77.03656965113906,12
2,2,3,1.2267,77.8717636416578,12
3,1,0,1.223,78.15213460413452,12
-1,-3,-1,1.2182,78.51923853858364,12
-1,-1,-10,1.2114,79.04596013829492,12
3,1,-2,1.2041,79.62030524887946,24
