10,887
10.02,907
10.04,880
10.06,707
10.08,867
10.1,787
10.12,907
10.14,913
10.16,773
10.18,773
10.2,800
10.22,720
10.24,693
10.26,793
10.28,653
10.3,793
10.32,793
10.34,793
10.36,747
10.38,627
10.4,773
10.42,740
10.44,740
10.46,720
10.48,780
10.5,760
10.52,900
10.54,887
10.56,813
10.58,787
10.6,880
10.62,693
10.64,693
10.66,747
10.68,780
10.7,820
10.72,733
10.74,747
10.76,800
10.78,700
10.8,807
10.82,707
10.84,760
10.86,793
10.88,833
10.9,800
10.92,793
10.94,900
10.96,727
10.98,660
11,667
11.02,893
11.04,933
11.06,780
11.08,733
11.1,900
11.12,720
11.14,807
11.16,640
11.18,813
11.2,747
11.22,793
11.24,640
11.26,780
11.28,853
11.3,860
11.32,780
11.34,667
11.36,847
11.38,833
11.4,807
11.42,747
11.44,720
11.46,720
11.48,773
11.5,713
11.52,720
11.54,880
11.56,753
11.58,673
11.6,827
11.62,680
11.64,867
11.66,873
11.68,727
11.7,753
11.72,747
11.74,740
11.76,767
11.78,707
11.8,820
11.82,660
11.84,873
11.86,707
11.88,713
11.9,720
11.92,713
11.94,860
11.96,713
11.98,773
12,767
12.02,813
12.04,753
12.06,820
12.08,707
12.1,773
12.12,667
12.14,693
12.16,760
12.18,707
12.2,740
12.22,653
12.24,773
12.26,713
12.28,687
12.3,880
12.32,787
12.34,813
12.36,840
12.38,747
12.4,640
12.42,760
12.44,793
12.46,747
12.48,813
12.5,833
12.52,767
12.54,873
12.56,800
12.58,753
12.6,760
12.62,867
12.64,760
12.66,753
12.68,687
12.7,753
12.72,773
12.74,807
12.76,873
12.78,840
12.8,800
12.82,773
12.84,860
12.86,727
12.88,747
12.9,927
12.92,880
12.94,673
12.96,853
12.98,800
13,807
13.02,753
13.04,747
13.06,840
13.08,660
13.1,840
13.12,740
13.14,820
13.16,813
13.18,853
13.2,847
13.22,793
13.24,940
13.26,753
13.28,760
13.3,773
13.32,940
13.34,753
13.36,780
13.38,860
13.4,800
13.42,727
13.44,827
13.46,727
13.48,833
13.5,747
13.52,767
13.54,807
13.56,700
13.58,873
13.6,787
13.62,827
13.64,780
13.66,900
13.68,873
13.7,953
13.72,800
13.74,840
13.76,720
13.78,760
13.8,647
13.82,820
13.84,1013
13.86,720
13.88,820
13.9,727
13.92,933
13.94,753
13.96,793
13.98,767
14,773
14.02,847
14.04,733
14.06,767
14.08,713
14.1,780
14.12,813
14.14,800
14.16,793
14.18,747
14.2,740
14.22,807
14.24,880
14.26,693
14.28,767
14.3,767
14.32,733
14.34,780
14.36,700
14.38,740
14.4,580
14.42,827
14.44,967
14.46,833
14.48,747
14.5,753
14.52,827
14.54,887
14.56,693
14.58,907
14.6,747
14.62,873
14.64,800
14.66,800
14.68,700
14.7,827
14.72,807
14.74,880
14.76,847
14.78,747
14.8,740
14.82,773
14.84,807
14.86,780
14.88,867
14.9,820
14.92,700
14.94,800
14.96,913
14.98,880
15,807
15.02,900
15.04,827
15.06,853
15.08,700
15.1,893
15.12,927
15.14,807
15.16,693
15.18,713
15.2,920
15.22,840
15.24,847
15.26,733
15.28,880
15.3,953
15.32,733
15.34,820
15.36,833
15.38,900
15.4,760
15.42,787
15.44,800
15.46,887
15.48,900
15.5,867
15.52,960
15.54,793
15.56,793
15.58,860
15.6,813
15.62,787
15.64,853
15.66,813
15.68,853
15.7,940
15.72,813
15.74,813
15.76,760
15.78,753
15.8,860
15.82,727
15.84,707
15.86,787
15.88,800
15.9,913
15.92,813
15.94,893
15.96,1040
15.98,860
16,727
16.02,887
16.04,907
16.06,867
16.08,947
16.1,853
16.12,753
16.14,847
16.16,813
16.18,953
16.2,807
16.22,807
16.24,933
16.26,933
16.28,780
16.3,647
16.32,907
16.34,900
16.36,853
16.38,960
16.4,967
16.42,940
16.44,933
16.46,953
16.48,1013
16.5,893
16.52,973
16.54,853
16.56,967
16.58,847
16.6,967
16.62,900
16.64,940
16.66,967
16.68,947
16.7,947
16.72,1007
16.74,873
16.76,953
16.78,987
16.8,940
16.82,1027
16.84,973
16.86,987
16.88,1020
16.9,967
16.92,953
16.94,1013
16.96,973
16.98,927
17,893
17.02,980
17.04,887
17.06,853
17.08,1007
17.1,980
17.12,940
17.14,1013
17.16,853
17.18,1060
17.2,1140
17.22,1067
17.24,807
17.26,1040
17.28,933
17.3,1100
17.32,1080
17.34,1080
17.36,1160
17.38,993
17.4,980
17.42,1013
17.44,1007
17.46,1087
17.48,873
17.5,1093
17.52,873
17.54,1140
17.56,1060
17.58,993
17.6,833
17.62,1133
17.64,1160
17.66,1273
17.68,960
17.7,1053
17.72,1173
17.74,973
17.76,1180
17.78,1153
17.8,1253
17.82,1100
17.84,1180
17.86,993
17.88,1193
17.9,1313
17.92,1320
17.94,1113
17.96,1153
17.98,1320
18,1333
18.02,1220
18.04,1433
18.06,1473
18.08,1440
18.1,1280
18.12,1493
18.14,1553
18.16,1400
18.18,1447
18.2,1467
18.22,1607
18.24,1747
18.26,1567
18.28,1780
18.3,1800
18.32,1940
18.34,2020
18.36,1973
18.38,1813
18.4,2073
18.42,2100
18.44,2227
18.46,2627
18.48,2353
18.5,2627
18.52,2720
18.54,2633
18.56,3007
18.58,2993
18.6,3220
18.62,3567
18.64,3867
18.66,4387
18.68,4280
18.7,5060
18.72,5640
18.74,6367
18.76,6667
18.78,7567
18.8,7973
18.82,9287
18.84,9913
18.86,11013
18.88,12507
18.9,13827
18.92,14847
18.94,16273
18.96,18233
18.98,19673
19,21853
19.02,23207
19.04,25040
19.06,28347
